date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:09:26	55373/55373	---M--	200	added ('OK')	image/png	etag:%22df189e573f6948c22d5c2a7d6d5a9560%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/multi-gpu-batch-norm.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/multi-gpu-batch-norm.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:26	60777/60777	---M--	200	added ('OK')	image/png	etag:%2245e5c41fc910a48bce61642b29f58bb9%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dreluforkdbn.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dreluforkdbn.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:27	6936/6936	---M--	200	added ('OK')	image/png	etag:%22b52b7f5b9167211ca105e54d8af1c036%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/mha-fprop.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/mha-fprop.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:27	11019/11019	---M--	200	added ('OK')	image/png	etag:%22ef290929a761ac9c461ac3f289149fe7%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dag1.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dag1.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:28	10992/10992	---M--	200	added ('OK')	image/png	etag:%222dc61dd5fc72fb262966129199db6998%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/padding-mask.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/padding-mask.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:28	13569/13569	---M--	200	added ('OK')	image/png	etag:%225433f5982b4ec7f86257c4b7c4602178%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dag-causal-mask.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dag-causal-mask.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:29	5482/5482	---M--	200	added ('OK')	image/png	etag:%2215e92e66e54539dfd4768b4f7dd591fe%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/softmax.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/softmax.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:29	3037/3037	---M--	200	added ('OK')	image/png	etag:%228d9cd0fde715533566b08e09c70b7b91%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dropout.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/dropout.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:30	18561/18561	---M--	200	added ('OK')	image/png	etag:%229209ad8eca44e1cf5865bf2a09d9e6db%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/mha-bprop.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/mha-bprop.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:30	3850/3850	---M--	200	added ('OK')	image/png	etag:%22b51dd5c2e8f9ddeeae77e9b3043797a9%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/g5.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/g5.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
